English,11:19 PM,12:49 AM,2024-05-25 22:17:31.131179
Break,12:49 AM,12:57 AM,2024-05-25 22:17:31.131179
English,12:57 AM,02:27 AM,2024-05-25 22:17:31.131179
English,10:24 PM,11:54 PM,2024-05-25 22:22:59.448605
Break,11:54 PM,12:02 AM,2024-05-25 22:22:59.448605
English,12:02 AM,01:32 AM,2024-05-25 22:22:59.448605
English,11:28 PM,12:58 AM,2024-05-25 22:25:36.877123
Break,12:58 AM,01:06 AM,2024-05-25 22:25:36.877123
English,01:06 AM,02:36 AM,2024-05-25 22:25:36.877123
English,10:41 PM,12:11 AM,2024-05-25 22:41:04.340787
Break,12:11 AM,12:19 AM,2024-05-25 22:41:04.340787
English,12:19 AM,01:49 AM,2024-05-25 22:41:04.340787
English,11:44 PM,12:44 AM,2024-05-25 22:43:50.980262
Break,12:44 AM,12:52 AM,2024-05-25 22:43:50.980262
English,12:52 AM,01:52 AM,2024-05-25 22:43:50.980262
English,12:48 PM,02:18 PM,2024-05-25 22:45:56.944516
Break,02:18 PM,02:29 PM,2024-05-25 22:45:56.944516
English,02:29 PM,03:59 PM,2024-05-25 22:45:56.944516
Sanskrit,01:21 PM,02:21 PM,2024-05-25 23:21:34.042247
Break,02:21 PM,02:29 PM,2024-05-25 23:21:34.042247
Sanskrit,02:29 PM,03:29 PM,2024-05-25 23:21:34.042247
Physics,01:42 AM,03:02 AM,2024-05-26 11:41:06.017641
Break,03:02 AM,03:17 AM,2024-05-26 11:41:06.017641
Physics,03:17 AM,04:37 AM,2024-05-26 11:41:06.017641
Break,04:37 AM,04:52 AM,2024-05-26 11:41:06.017641
Physics,04:52 AM,06:12 AM,2024-05-26 11:41:06.017641
scuffed_god,English,09:37 PM,11:07 PM,2024-05-26 21:36:25.899798
scuffed_god,Break,11:07 PM,11:16 PM,2024-05-26 21:36:25.899798
scuffed_god,English,11:16 PM,12:46 AM,2024-05-26 21:36:25.899798
scuffed_god,English,09:40 PM,10:40 PM,2024-05-26 21:38:33.383921
scuffed_god,Break,10:40 PM,10:48 PM,2024-05-26 21:38:33.383921
scuffed_god,English,10:48 PM,11:48 PM,2024-05-26 21:38:33.383921
scuffed_god,English,10:32 PM,11:02 PM,2024-05-26 22:30:06.940471
scuffed_god,Break,11:02 PM,11:11 PM,2024-05-26 22:30:06.940471
scuffed_god,English,11:11 PM,11:41 PM,2024-05-26 22:30:06.940471
scuffed_god,English,10:37 PM,12:37 AM,2024-05-26 22:35:55.666572
scuffed_god,Break,12:37 AM,12:45 AM,2024-05-26 22:35:55.666572
scuffed_god,English,12:45 AM,02:45 AM,2024-05-26 22:35:55.666572
scuffed_god,English,11:40 PM,01:10 AM,2024-05-26 22:39:02.768309
scuffed_god,Break,01:10 AM,01:19 AM,2024-05-26 22:39:02.768309
scuffed_god,English,01:19 AM,02:49 AM,2024-05-26 22:39:02.768309
scuffed_god,History,10:42 PM,12:12 AM,2024-05-26 22:41:55.953781
scuffed_god,Break,12:12 AM,12:20 AM,2024-05-26 22:41:55.953781
scuffed_god,History,12:20 AM,01:50 AM,2024-05-26 22:41:55.953781
scuffed_god,English,10:49 PM,12:19 AM,2024-05-26 22:47:19.753866
scuffed_god,Break,12:19 AM,12:28 AM,2024-05-26 22:47:19.753866
scuffed_god,English,12:28 AM,01:58 AM,2024-05-26 22:47:19.753866
scuffed_god,English,10:49 PM,11:49 PM,2024-05-26 22:48:17.426974
scuffed_god,Break,11:49 PM,11:57 PM,2024-05-26 22:48:17.426974
scuffed_god,English,11:57 PM,12:57 AM,2024-05-26 22:48:17.426974
scuffed_god,English,11:52 PM,12:52 AM,2024-05-26 22:50:23.167952
scuffed_god,Break,12:52 AM,01:01 AM,2024-05-26 22:50:23.167952
scuffed_god,English,01:01 AM,02:01 AM,2024-05-26 22:50:23.167952
scuffed_god,English,11:01 PM,11:31 PM,2024-05-26 23:01:04.288412
scuffed_god,Break,11:31 PM,11:39 PM,2024-05-26 23:01:04.288412
scuffed_god,English,11:39 PM,12:09 AM,2024-05-26 23:01:04.288412
scuffed_god,Break,12:09 AM,12:17 AM,2024-05-26 23:01:04.288412
scuffed_god,English,12:17 AM,12:47 AM,2024-05-26 23:01:04.288412
scuffed_god,Break,12:47 AM,12:55 AM,2024-05-26 23:01:04.288412
scuffed_god,English,12:55 AM,01:25 AM,2024-05-26 23:01:04.288412
scuffed_god,Break,01:25 AM,01:33 AM,2024-05-26 23:01:04.288412
scuffed_god,English,01:33 AM,02:03 AM,2024-05-26 23:01:04.288412
scuffed_god,Break,02:03 AM,02:11 AM,2024-05-26 23:01:04.288412
scuffed_god,English,02:11 AM,02:41 AM,2024-05-26 23:01:04.288412
scuffed_god,History,11:07 PM,12:07 AM,2024-05-26 23:06:54.335541
scuffed_god,Break,12:07 AM,12:16 AM,2024-05-26 23:06:54.335541
scuffed_god,History,12:16 AM,01:16 AM,2024-05-26 23:06:54.335541
scuffed_god,English,11:10 PM,12:10 AM,2024-05-26 23:08:39.986257
scuffed_god,Break,12:10 AM,12:18 AM,2024-05-26 23:08:39.986257
scuffed_god,English,12:18 AM,01:18 AM,2024-05-26 23:08:39.986257
scuffed_god,Hindi,11:13 PM,12:43 AM,2024-05-26 23:11:45.439487
scuffed_god,Break,12:43 AM,12:51 AM,2024-05-26 23:11:45.439487
scuffed_god,Hindi,12:51 AM,02:21 AM,2024-05-26 23:11:45.439487
scuffed_god,English,11:18 PM,12:18 AM,2024-05-26 23:16:46.240865
scuffed_god,Break,12:18 AM,12:26 AM,2024-05-26 23:16:46.240865
scuffed_god,English,12:26 AM,01:26 AM,2024-05-26 23:16:46.240865
scuffed_god,Legal Studies,08:58 PM,01:58 AM,2024-08-24 20:56:07.360105
